match_number,date,competition,rival_name,local,gf,ga,goals_info,shots,shots_on_goal,possession,passing,passing_accuracy,fouls,yellow_cards,red_cards,offside,corner,goals_info_against,shots_against,shots_on_goal_against,possession_against,passing_against,passing_accuracy_against,fouls_against,yellow_cards_against,red_cards_against,offside_against,corner_against
1,16/8/25,LaLiga,R.C.D. Mallorca,False,3,0,"[['Raphinha', ""7'""], ['Ferran Torres', ""23'""], ['Lamine Yamal', ""90+4'""]]",36,16,0.71,506,0.93,17,1,0,3,6,[],5,1,0.29,227,0.75,8,3,2,2,3
2,23/8/25,LaLiga,Levante,False,3,2,"[['Pedri', ""49'""], ['Ferran Torres', ""52'""], ['Unai Elgezabal', ""90+1' (GEC)""]]",31,14,0.81,721,0.93,7,1,0,0,11,"[['Iván Romero', ""15'""], ['José Luis Morales Nogales', ""45+7' (P)""]]",9,6,0.19,160,0.66,10,3,0,6,0
3,31/8/25,LaLiga,Rayo Vallecano,False,1,1,"[['Lamine Yamal', ""40' (P)""]]",9,4,0.57,447,0.83,7,1,0,2,4,"[['Fran Pérez Martínez', ""67'""]]",12,6,0.43,298,0.76,12,4,0,6,9
4,14/9/25,LaLiga,Valencia C. F.,True,6,0,"[['Fermín López Marín', ""29',"", ""56'""], ['Raphinha', ""53',"", ""66'""], ['Robert Lewandowski', ""76',"", ""86'""]]",23,11,0.72,615,0.92,9,0,0,3,5,[],4,3,0.28,241,0.68,7,1,0,3,4
5,18/9/25,Liga de Campeones de la UEFA,Newcastle,False,2,1,"[['Marcus Rashford', ""58',"", ""67'""]]",18,4,0.61,524,0.87,12,4,0,0,4,"[['Anthony Gordon', ""90'""]]",8,6,0.39,270,0.78,10,2,0,3,6
6,21/9/25,LaLiga,Getafe,True,3,0,"[['Ferran Torres', ""15',"", ""34'""], ['Dani Olmo', ""62'""]]",16,8,0.62,637,0.92,9,2,0,3,3,[],3,2,0.38,294,0.72,16,4,0,1,2
7,25/9/25,LaLiga,Real Oviedo,False,3,1,"[['Eric García', ""56'""], ['Robert Lewandowski', ""70'""], ['Ronald Araújo', ""88'""]]",14,7,0.73,775,0.93,4,0,0,0,9,"[['Alberto Reina', ""33'""]]",4,3,0.27,151,0.71,6,1,0,7,6
8,28/9/25,LaLiga,Real Sociedad,True,2,1,"[['Jules Koundé', ""43'""], ['Robert Lewandowski', ""59'""]]",19,11,,723,0.93,6,1,0,2,12,"[['Álvaro Odriozola', ""31'""]]",8,2,,246,0.79,12,2,0,5,1
9,1/10/25,Liga de Campeones de la UEFA,PSG,True,1,2,"[['Ferran Torres', ""19'""]]",13,2,0.49,389,0.87,12,4,0,0,4,"[['Senny Mayulu', ""38'""], ['Gonçalo Ramos', ""90'""]]",14,6,0.51,457,0.89,15,2,0,2,9
10,5/10/25,LaLiga,Sevilla,False,1,4,"[['Marcus Rashford', ""45+7'""]]",15,7,0.6,387,0.83,8,5,0,0,6,"[['Alexis Sánchez', ""13' (P)""], ['Isaac Romero', ""37'""], ['José Ángel Carmona', ""90'""], ['Akor Adams', ""90+6'""]]",16,8,0.4,276,0.81,19,7,0,10,7
11,18/10/25,LaLiga,Girona,True,2,1,"[['Pedri', ""13'""], ['Ronald Araújo', ""90+3'""]]",24,6,0.72,611,0.92,11,2,0,1,11,"[['Axel Witsel', ""20'""]]",9,3,0.28,260,0.83,7,2,0,2,5
12,21/10/25,Liga de Campeones de la UEFA,Olympiacos,True,6,1,"[['Fermín López Marín', ""7',"", ""39',"", ""76'""], ['Lamine Yamal', ""68' (P)""], ['Marcus Rashford', ""74',"", ""79'""]]",14,9,0.69,645,0.92,5,1,0,2,7,"[['Ayoub El Kaabi', ""53' (P)""]]",5,2,0.31,248,0.72,9,3,1,1,2
13,26/10/25,LaLiga,Real Madrid,False,1,2,"[['Fermín López Marín', ""38'""]]",13,6,0.52,632,0.9,6,4,1,2,4,"[['Kylian Mbappé', ""22'""], ['Jude Bellingham', ""43'""]]",22,10,0.48,279,0.85,12,5,1,5,12
14,2/11/25,LaLiga,Elche C. F.,True,3,1,"[['Lamine Yamal', ""9'""], ['Ferran Torres', ""12'""], ['Marcus Rashford', ""61'""]]",17,6,,416,0.83,14,0,0,5,6,"[['Rafa Mir', ""42'""]]",9,2,,408,0.83,17,1,0,5,3
15,5/11/25,Liga de Campeones de la UEFA,Club Brujas,False,3,3,"[['Ferran Torres', ""8'""], ['Lamine Yamal', ""61'""], ['Christos Tzolis', ""77' (GEC)""]]",24,8,0.77,693,0.93,6,3,0,1,3,"[['Nicolò Tresoldi', ""6'""], ['Carlos Forbs', ""17',"", ""63'""]]",11,6,0.23,201,0.75,10,2,0,1,0
16,9/11/25,LaLiga,Celta de Vigo,False,4,2,"[['Robert Lewandowski', ""10' (P),"", ""37',"", ""73'""], ['Lamine Yamal', ""45+4'""]]",20,8,0.63,686,0.92,11,4,1,0,5,"[['Sergio Carreira', ""11'""], ['Borja Iglesias', ""43'""]]",6,4,0.37,390,0.86,12,1,0,5,2
17,22/11/25,LaLiga,Athletic,True,4,0,"[['Robert Lewandowski', ""4'""], ['Ferran Torres', ""45+3',"", ""90'""], ['Fermín López Marín', ""48'""]]",18,7,0.6,568,0.91,10,0,0,7,5,[],10,2,0.4,261,0.78,7,2,1,3,7
